"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
13,-0.455714627017869,-11.1988780222484
13.5,-1.18388986485653,-7.04753678042641
14,-3.962770396062,-2.7997753962997
14.5,-18.3735523316925,-0.463869777798487
15,-9.55878723933776,-0.806999167313894
15.5,-5.83526531004454,-1.55728040647965
16,-5.20269251236267,-1.78344915883356
16.5,-5.97165691289508,-1.48687159745568
17,-8.51664104184933,-0.887153949188487
17.5,-15.9746328177652,-0.350556834572725
18,-18.1646291713192,-0.316731096008485
18.5,-8.28199477890012,-0.95653899575894
19,-4.80410852842404,-2.00821307079197
19.5,-3.178917391153,-3.11419499750994
20,-2.34332914931908,-4.06510420032648
20.5,-1.8947914320333,-4.78054776956751
21,-1.66159668717224,-5.24051444716559
21.5,-1.56843711409011,-5.44591969180897
22,-1.5873356475348,-5.40217905656209
22.5,-1.72126717822659,-5.11379507108531
23,-2.00524028886353,-4.5846373607318
23.5,-2.52567502189372,-3.82382807503452
24,-3.47646012523382,-2.86216179536186
24.5,-5.31793100697878,-1.78993623874576
25,-9.35020942878285,-0.821025037345316
25.5,-23.2090263383387,-0.312106117638217
26,-12.5597637133898,-0.545440178896708
26.5,-6.46303497603381,-1.41490048561466
27,-3.93110095207997,-2.55973376338583
27.5,-2.6692367268199,-3.69360962372896
28,-1.98017750100697,-4.68005777480928
28.5,-1.58200602875447,-5.47227057243783
29,-1.34726823272794,-6.06114661256312
29.5,-1.21455064921159,-6.45009345997157
30,-1.15399539779947,-6.64473451723307
30.5,-1.15312233124186,-6.64902139652892
31,-1.21152057603883,-6.46395419965055
31.5,-1.34062961659067,-6.08754843978347
32,-1.56844476637948,-5.51597865270236
32.5,-1.95242460336922,-4.74704908176467
33,-2.61078185191519,-3.78932053079998
33.5,-3.80195063346762,-2.68448565509667
34,-6.15489659854486,-1.55460844627403
34.5,-11.6434112833834,-0.663838411584816
35,-25.9053545220122,-0.373866664782524
35.5,-9.83657280931468,-0.844863388369765
36,-5.41827929361752,-1.843545743439
36.5,-3.41890211101168,-3.01361988750961
37,-2.38097800999485,-4.12622547656989
37.5,-1.79628115658436,-5.08363456792409
38,-1.44909897985869,-5.85595819986765
38.5,-1.2385662869515,-6.44010223137634
39,-1.11454247080978,-6.8412383738867
39.5,-1.05167818081791,-7.06540265316825
40,-1.03834316347712,-7.1167180488508
40.5,-1.07211923018663,-6.99644897270205
41,-1.15889990976698,-6.70284582461727
41.5,-1.31503788344913,-6.23158406477916
42,-1.57386305417432,-5.57726730545084
42.5,-2.00100184360903,-4.73754096247144
43,-2.73063308749567,-3.72368962070072
43.5,-4.05797057204642,-2.58602447537005
44,-6.71446606924727,-1.46466720273106
44.5,-13.1551767130887,-0.644176157994578
45,-20.6593751405993,-0.471633423216637
45.5,-8.87984993848129,-1.0415648012448
46,-5.03141109310266,-2.08135909523655
46.5,-3.22945954511314,-3.25139449963625
47,-2.27573955926917,-4.34883515281425
47.5,-1.73043218761425,-5.2903401951385
48,-1.40251763093119,-6.05171422228231
48.5,-1.20115530476998,-6.63169174999496
49,-1.08050398155615,-7.03588590120692
49.5,-1.01698714167686,-7.27039866638176
50,-0.999410291355284,-7.33942279775187
50.5,-1.02480845044334,-7.24441754764282
51,-1.09740617117636,-6.98394063350627
51.5,-1.23007719807314,-6.55392503809534
52,-1.44915437181458,-5.94870279364915
52.5,-1.80564769065785,-5.1638542535976
53,-2.40108237650195,-4.20363591673909
53.5,-3.45070175090394,-3.09923301345269
54,-5.45666180352217,-1.94835694825687
54.5,-9.83640463873744,-0.974565907735095
55,-23.9898259466478,-0.52092479725828
55.5,-11.6975433325769,-0.812998366894163
56,-6.2065495987779,-1.7031489827574
56.5,-3.82214061618689,-2.84546334425673
57,-2.60423236098604,-3.98136592333702
57.5,-1.9238772748438,-4.98896387070581
58,-1.51991675112569,-5.82632323426382
58.5,-1.2714672733142,-6.48572835178644
59,-1.11844450100298,-6.97156856358181
59.5,-1.02973792261435,-7.29136473324199
60,-0.98949159478199,-7.4526335588487
